ALK_absolute_monarchy;Kingdom of Alaska;Kingdom of Alaska;Kingdom of Alaska;;;;;;;;;;;x;
ALK_ADJ;Alaskan;Alaskan;Alaskan;;;;;;;;;;;x;
ALK_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ALK_bourgeois_dictatorship;Republic of Alaska;Republic of Alaska;Republic of Alaska;;;;;;;;;;;x;
ALK_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ALK_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ALK_democracy;Alaska;Alaska;Alaska;;;;;;;;;;;x;
ALK_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
ALK_fascist_dictatorship;Free State of Alaska;Free State of Alaska;Free State of Alaska;;;;;;;;;;;x;
ALK_hms_government;Kingdom of Alaska;Kingdom of Alaska;Kingdom of Alaska;;;;;;;;;;;x;
ALK_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ALK_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ALK_presidential_dictatorship;Republic of Alaska;Republic of Alaska;Republic of Alaska;;;;;;;;;;;x;
ALK_proletarian_dictatorship;Socialist Republic of Alaska;Socialist Republic of Alaska;Socialist Republic of Alaska;;;;;;;;;;;x;
ALK_prussian_constitutionalism;Kingdom of Alaska;Kingdom of Alaska;Kingdom of Alaska;;;;;;;;;;;x;
ALK_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ALK_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ALK_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ALK;Alaska;Alaska;Alaska;;;;;;;;;;;x;
AND_absolute_monarchy;Principality of Andorra;Principality of Andorra;Principality of Andorra;;;;;;;;;;;x;
AND_ADJ;Andorran;Andorran;Andorran;;;;;;;;;;;x;
AND_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
AND_bourgeois_dictatorship;Republic of Andorra;Republic of Andorra;Republic of Andorra;;;;;;;;;;;x;
AND_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
AND_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
AND_democracy;Andorra;Andorra;Andorra;;;;;;;;;;;x;
AND_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
AND_fascist_dictatorship;State of Andorra;State of Andorra;State of Andorra;;;;;;;;;;;x;
AND_hms_government;Andorra;Andorra;Andorra;;;;;;;;;;;x;
AND_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
AND_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
AND_presidential_dictatorship;Republic of Andorra;Republic of Andorra;Republic of Andorra;;;;;;;;;;;x;
AND_proletarian_dictatorship;Commune of Andorra;Commune of Andorra;Commune of Andorra;;;;;;;;;;;x;
AND_prussian_constitutionalism;Andorra;Andorra;Andorra;;;;;;;;;;;x;
AND_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
AND_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
AND_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
AND;Andorra;Andorra;Andorra;;;;;;;;;;;x;
APH_absolute_monarchy;Alpine Empire;Alpine Empire;Alpine Empire;;;;;;;;;;;x
APH_ADJ;Alpine;Alpine;Alpine;;;;;;;;;;;x
APH_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
APH_bourgeois_dictatorship;Alpine Republic;Alpine Republic;Alpine Republic;;;;;;;;;;;x
APH_communist_96;Communists;Communists;Communists;;;;;;;;;;;x
APH_conservative_106;Conservatives;Conservatives ;Conservatives;;;;;;;;;;;x
APH_democracy;Alpine Confederation;Alpine Confederation;Alpine Confederation;;;;;;;;;;;x
APH_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x
APH_fascist_dictatorship;Greater Alpine Republic;Greater Alpine Republic;Greater Alpine Republic;;;;;;;;;;;x
APH_hms_government;Alpine Kingdom;Alpine Kingdom;Alpine Kingdom;;;;;;;;;;;x
APH_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x
APH_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x
APH_presidential_dictatorship;Alpine Republic;Alpine Republic;Alpine Republic;;;;;;;;;;;x
